__time,/qualisys/ship_deck_platform/pose/pose/position/z
1744111523.08963,1.892144287
1744111523.10005,1.889778076
1744111523.10638,1.887648804
1744111523.12033,1.885127563
1744111523.13005,1.882721558
1744111523.13994,1.879977783
1744111523.15058,1.877820435
1744111523.16037,1.875075439
1744111523.16754,1.872743652
1744111523.17583,1.870028687
1744111523.19035,1.867656128
1744111523.20027,1.864871826
1744111523.20625,1.862299805
1744111523.22019,1.85963855
1744111523.2295,1.857062988
1744111523.23622,1.85463916
1744111523.25016,1.852017456
1744111523.25663,1.84963501
1744111523.26553,1.847072632
1744111523.28012,1.844404785
1744111523.29095,1.841945313
1744111523.29976,1.839352295
1744111523.30996,1.837101929
1744111523.31967,1.834678589
1744111523.33026,1.832596924
1744111523.3401,1.830313232
1744111523.34515,1.828266113
1744111523.35985,1.825872803
1744111523.37033,1.823480103
1744111523.37971,1.82089563
1744111523.38775,1.818331665
1744111523.39531,1.815754883
1744111523.40584,1.813139526
1744111523.41989,1.810536865
1744111523.4355,1.80793811
1744111523.43648,1.805346558
1744111523.4452,1.802641846
1744111523.4617,1.800142822
1744111523.47013,1.797261475
1744111523.47662,1.794773682
1744111523.49331,1.791914795
1744111523.5005,1.789429077
1744111523.50574,1.786679565
1744111523.52523,1.784100708
1744111523.52638,1.781359131
1744111523.53605,1.778675171
1744111523.55752,1.776052856
1744111523.55828,1.773435303
1744111523.56611,1.77080542
1744111523.58957,1.768251587
1744111523.59064,1.765770996
1744111523.59659,1.763144409
1744111523.62152,1.760470215
1744111523.62265,1.757895874
1744111523.6259,1.755144287
1744111523.64007,1.75263623
1744111523.64546,1.74965686
1744111523.65975,1.747250732
1744111523.67008,1.744436279
1744111523.68065,1.741869263
1744111523.6906,1.739013062
1744111523.69604,1.73643042
1744111523.71761,1.733639282
1744111523.72424,1.73102417
1744111523.73042,1.728233276
1744111523.74925,1.725682983
1744111523.75024,1.722956299
1744111523.76005,1.720241943
1744111523.76611,1.717526978
1744111523.77579,1.714779907
1744111523.786,1.712134399
1744111523.80056,1.709331177
1744111523.80534,1.706723999
1744111523.82037,1.70400061
1744111523.83095,1.701371704
1744111523.83698,1.698633057
1744111523.85042,1.695855713
1744111523.86052,1.693175171
1744111523.8705,1.690431885
1744111523.87637,1.687833252
1744111523.89043,1.684999878
1744111523.89969,1.682405518
1744111523.91084,1.67958728
1744111523.91589,1.676954346
1744111523.93059,1.674109863
1744111523.93589,1.671531982
1744111523.9497,1.668812866
1744111523.96069,1.666135498
1744111523.96601,1.663450195
1744111523.98063,1.660769043
1744111523.99066,1.658062622
1744111523.99557,1.655473389
1744111524.00579,1.652690796
1744111524.02015,1.650048096
1744111524.0258,1.64741272
1744111524.03962,1.644625732
1744111524.05027,1.642028564
1744111524.06003,1.639205322
1744111524.0657,1.636500977
1744111524.08045,1.633857544
1744111524.08548,1.631148193
1744111524.0959,1.628496094
1744111524.11081,1.625715942
1744111524.1306,1.623035034
1744111524.1318,1.620210205
1744111524.13966,1.6175354
1744111524.16351,1.614725342
1744111524.16457,1.6121698
1744111524.16625,1.609291504
1744111524.18395,1.606667969
1744111524.19005,1.603875
1744111524.19602,1.601170654
1744111524.20641,1.598592163
1744111524.21582,1.595831421
1744111524.22609,1.593226562
1744111524.24069,1.590453247
1744111524.25053,1.587793335
1744111524.25533,1.584932251
1744111524.26564,1.582387939
1744111524.27965,1.579580811
1744111524.29014,1.576852417
1744111524.29619,1.574106812
1744111524.30633,1.571436646
1744111524.31657,1.568743408
1744111524.32622,1.565991821
1744111524.33626,1.563401855
1744111524.34663,1.56061145
1744111524.35592,1.558012451
1744111524.36628,1.55526709
1744111524.3812,1.552662354
1744111524.38539,1.550013184
1744111524.40706,1.547182373
1744111524.41078,1.544577515
1744111524.42266,1.541887329
1744111524.42621,1.539148315
1744111524.44877,1.536614624
1744111524.45014,1.534079468
1744111524.45606,1.531440308
1744111524.46591,1.528947266
1744111524.47634,1.526325195
1744111524.49033,1.523824097
1744111524.49666,1.521093384
1744111524.51027,1.518567505
1744111524.51797,1.515865112
1744111524.52629,1.513391846
1744111524.53565,1.510971191
1744111524.5471,1.508576172
1744111524.55573,1.506306763
1744111524.57805,1.504102173
1744111524.57966,1.502000244
1744111524.58585,1.499779541
1744111524.60871,1.497471558
1744111524.61056,1.495234131
1744111524.61974,1.492744507
1744111524.64713,1.490531738
1744111524.65232,1.485808472
1744111524.66228,1.483415161
1744111524.67075,1.4812146
1744111524.67596,1.478803589
1744111524.6873,1.476523804
1744111524.70174,1.474032471
1744111524.70696,1.471811157
1744111524.72199,1.469359985
1744111524.72591,1.467176514
1744111524.73686,1.464815186
1744111524.75896,1.462638306
1744111524.76333,1.460321899
1744111524.78352,1.458099609
1744111524.78452,1.455806519
1744111524.78644,1.453657104
